,X,Y,Z,Nphi
300,335349.2752384534,4263044.1280000005,114.57858480450443,4.951050904892617
301,335348.94694140984,4263044.1219999995,116.82041311951946,4.554761189710711
302,335347.9339678752,4263044.117,119.06224143453449,3.473787053966492
303,335348.00022664305,4263044.1110000005,121.30406974954951,3.471896135357904
304,335348.5487961872,4263044.106000001,123.54589806456454,3.952294674715672
305,335348.1526297044,4263044.117090876,125.78772637957957,3.4928479156854655
306,335349.06549951027,4263044.128955923,128.0295546945946,4.342865625935655
307,335349.57357042003,4263044.14,130.2713830096095,4.787970420014688
308,335349.9466908271,4263044.151000001,132.51321132462454,5.098024401682242
309,335350.1079875871,4263044.17,134.75503963963956,5.193602904398543
310,335349.5156258732,4263044.193049892,136.9968679546546,4.533675981754935
311,335349.7123922195,4263044.217,139.23869626966962,4.662636060465596
312,335351.635527098,4263044.24,141.48052458468464,6.5185695335923235
313,335352.56148229906,4263044.263050511,143.72235289969967,7.367081278655496
314,335353.3704957239,4263044.287,145.9641812147147,8.07964550676309
315,335350.95900380117,4263044.310834923,148.20600952972973,5.571216494968741
316,335353.5525844079,4263044.334,150.44783784474464,8.068397909493125
317,335352.84426831675,4263044.357,152.68966615975967,7.259954298905037
318,335352.7401356833,4263044.3719999995,154.9314944747747,7.023220816700353
319,335350.19716510864,4263044.387479805,157.17332278978972,4.348073672579187
320,335351.82345756737,4263044.403,159.41515110480475,5.841838061905072
321,335351.96215056936,4263044.4180000005,161.65697941981978,5.848373744826831
322,335355.290460579,4263044.421,163.8988077348348,9.018910479291005
323,335351.9581751942,4263044.42,166.14063604984983,5.52165424619557
324,335350.79496402363,4263044.419,168.38246436486486,4.193064630530344
325,335352.3313045901,4263044.419,170.62429267987977,5.564504745693802
326,335353.0904295077,4263044.409558831,172.8661209948948,6.14719128674993
327,335352.24408096174,4263044.388748872,175.10794930990983,5.107927128294812
328,335350.98655671446,4263044.368,177.34977762492485,3.6579633076944664
329,335353.4204946602,4263044.347,179.59160593993988,5.899050180912624
330,335354.32488110656,4263044.325171424,181.8334342549549,6.608338241977505
331,335354.5363575775,4263044.296,184.07526256996994,6.603614804114779
332,335351.4030124639,4263044.266617805,186.31709088498496,3.2536779249498866
333,335352.2823506007,4263044.237556885,188.5589192,3.9168793381168716
334,335355.65348974505,4263044.208000001,190.8007475150149,7.071897107512079
335,335354.97387746687,4263044.179,193.04257583002993,6.1509919525980505
336,335353.4040843023,4263044.15,195.28440414504496,4.336837533136075
337,335356.28633762174,4263044.120216369,197.52623246006,6.974681460218093
338,335358.90067687567,4263044.091033632,199.768060775075,9.344641671676445
339,335366.96063781885,4263044.064879602,202.00988909009004,17.145027469948147
340,335358.84350747534,4263044.039443041,204.25171740510507,8.756892294453273
341,335359.57348566485,4263044.014524873,206.4935457201201,9.215992367820434
342,335360.5421886395,4263043.99,208.73537403513512,9.91398629578854
343,335360.28492546274,4263043.967,210.97720235015004,9.383138720221359
344,335360.3977746557,4263043.953,213.21903066516506,9.213453694347422
345,335359.6694317417,4263043.938999999,215.4608589801801,8.203029639036608
346,335360.0873576126,4263043.925,217.70268729519512,8.338915348101663
347,335361.4418609279,4263043.912,219.94451561021015,9.41238876964178
348,335360.88803583005,4263043.904,222.18634392522517,8.581380596460923
349,335360.7847905855,4263043.896000001,224.4281722402402,8.200639882818294
350,335357.97761601396,4263043.887,226.67000055525523,5.1159689184923955
351,335360.48290955316,4263043.879,228.91182887027026,7.344215909244213
352,335361.31284664857,4263043.869,231.15365718528528,7.901181888012372
