xloc,yloc,zloc,phase,date_clock,tsec,t0_loc,eigval_max,eigval_mid,eigval_min,eigvec_max_e,eigvec_max_n,eigvec_max_u,eigvec_mid_e,eigvec_mid_n,eigvec_mid_u,mom,fc_p,fc_s,rad,sd,mw,energy,src_nrcv,src_misfit,mom_sdev,fc_sdev,snr_loc,orthogonality,distance_rcv,noise_level_acc
335363.1,4263059.1,491.9,2,28:04:19:09:56:09,640569,0.198,53.1,35.14,31.81,0.49834,-0.79524,-0.34533,0.01345,0.40535,-0.91406,2.18E+06,152.3,144.4,5.76,4973.783,-1.775,1.99E-01,10,0.2733,1.52E+06,4,3.6,0.842,1437.2,2.48E-06
335365.8,4263057.1,413.5,2,28:04:19:09:56:45,640605,0.077,22.19,19.85,16.97,-0.01018,0.26139,0.96518,-0.55224,0.80321,-0.22335,1.20E+07,161.8,130.8,5.81,26901.144,-1.28,6.01E+00,11,0.3353,3.16E+06,15.5,10.5,0.898,1361.5,2.97E-06
335225.4,4263057.9,366.3,2,28:04:19:10:07:59,641279,0.63,165.58,137.42,56.62,-0.16355,-0.98542,0.04699,-0.75241,0.1554,0.6401,3.99E+06,191.3,130.8,5.35,11390.508,-1.599,8.28E-01,11,0.3189,1.41E+06,30.3,3.8,0.669,1367.6,2.53E-06
335371.8,4263094.9,384.7,2,28:04:19:10:11:43,641503,0.4215,72.39,30.49,16.34,0.5638,-0.73566,-0.3754,0.67442,0.67245,-0.3049,6.42E+06,154.8,109.7,6.51,10163.29,-1.462,1.19E+00,11,0.339,1.56E+06,22.6,6.5,0.826,1334.7,2.48E-06
335381.7,4263129,385,2,28:04:19:10:11:49,641509,0.5787,60.14,28.73,9.67,0.84485,-0.30129,-0.44211,0.32132,0.94647,-0.03098,3.95E+07,242.5,116.1,5.12,128840.287,-0.936,9.29E+01,11,0.34,1.67E+07,63.2,9.9,0.854,1335,2.33E-06
335381.7,4263087.8,405.1,2,28:04:19:10:12:38,641558,0.656,52.43,32.2,16.39,0.50666,-0.79432,-0.33518,0.73522,0.60113,-0.31321,1.85E+07,152.6,128.3,6.05,36615.63,-1.155,1.26E+01,11,0.3025,4.13E+06,12.1,12.5,0.857,1350.6,2.25E-06
335304,4263173.6,267.3,2,28:04:19:10:21:24,642084,0.399,422.17,213.73,64.42,-0.09437,-0.99518,-0.02665,-0.83493,0.06453,0.54656,1.93E+06,132.4,103.6,7.26,2212.32,-1.809,7.78E-02,8,0.2605,9.00E+06,14.2,2.2,0.669,1257,2.42E-06
335379.4,4263151,398.9,2,28:04:19:10:22:36,642156,0.974,83.42,61.36,16.62,0.2448,-0.93214,-0.26681,0.86946,0.33283,-0.36506,3.50E+07,171.7,128.1,5.68,83777.272,-0.97,5.44E+01,11,0.3161,8.61E+06,21.8,15.5,0.856,1351.3,2.19E-06
335245.1,4263043.2,261.8,2,28:04:19:10:25:23,642323,0.145,87.51,64.41,10.51,0.84068,-0.07743,-0.53597,0.09094,0.99586,-0.00123,2.53E+06,113.8,84.7,8.65,1714.64,-1.731,7.91E-02,10,0.266,1.83E+06,14.5,2.2,0.59,1263.8,2.60E-06
335360.5,4263129.3,336.7,2,28:04:19:10:38:19,643099,0.972,206.67,88.08,33.27,0.66981,-0.57163,-0.47392,0.5535,0.80982,-0.1945,2.23E+06,174.5,98.7,6.53,3505.28,-1.768,1.40E-01,9,0.2546,1.42E+06,37.9,2.5,0.772,1296,2.35E-06
