,X,Y,Z,Temperature
585,335515.89801299875,4263049.773632062,921.6367782099098,134.49099696816342
586,335515.9067804031,4263049.758,923.8786065249249,134.52544236573186
587,335515.9342934127,4263049.741498302,926.1204348399399,134.5780940920986
588,335515.8362047748,4263049.72507287,928.3622631549549,134.50556833950768
589,335515.645421512,4263049.709,930.60409146997,134.34022151204024
590,335515.4884538034,4263049.693,932.845919784985,134.2083943469688
591,335515.0964962596,4263049.677,935.0877481,133.841839033905
592,335514.89881393337,4263049.661,937.329576415015,133.6698621638033
593,335514.54299312254,4263049.645,939.5714047300298,133.33948879049223
594,335514.15732082113,4263049.629,941.8132330450449,132.9791208211252
595,335513.6522138764,4263049.613,944.0550613600599,132.49941387644103
596,335512.3680276035,4263049.597,946.2968896750749,131.24050305589373
597,335511.8857956914,4263049.581,948.5387179900899,130.78369569137072
598,335510.70579026843,4263049.564773489,950.780546305105,129.62920352420164
599,335509.52000764495,4263049.528682658,953.02237462012,128.4817249865689
600,335508.1526123809,4263049.492818658,955.264202935135,127.15320305174993
601,335507.1476346978,4263049.456,957.50603125015,126.1868434955341
602,335506.6312928445,4263049.42,959.7478595651651,125.70929740585888
603,335506.2829838123,4263049.383233155,961.9896878801801,125.39995065705082
604,335506.0126660506,4263049.347,964.2315161951951,125.16818460185604
605,335505.778344083,4263049.31050882,966.4733445102102,124.97263526304097
606,335505.57447946427,4263049.274646221,968.7151728252252,124.80773324339924
607,335505.3801680667,4263049.237784484,970.9570011402402,124.65188358203756
608,335505.19595410174,4263049.201644572,973.1988294552552,124.50645410178996
609,335504.97531126044,4263049.165060151,975.4406577702703,124.32485110920817
610,335504.78801465384,4263049.129,977.6824860852853,124.17606139507413
611,335504.5434131449,4263049.092867191,979.9243144003001,123.97026626844456
612,335504.353768943,4263049.056,982.1661427153151,123.81946343845289
613,335504.23533434194,4263049.02,984.4079710303301,123.73975167869638
614,335504.0452461672,4263048.983301659,986.6497993453452,123.58859533787614
615,335503.8016552971,4263048.947,988.8916276603602,123.38365529712827
616,335503.5535219615,4263048.911,991.1334559753752,123.17412196154652
617,335503.4755206555,4263048.874195772,993.3752842903903,123.13502488315689
618,335503.32701161416,4263048.838,995.6171126054053,123.02520203343042
619,335503.23874227965,4263048.801636723,997.8589409204203,122.9757239182777
620,335503.1238631546,4263048.765,1000.1007692354353,122.8997741995042
621,335502.9877355165,4263048.728999999,1002.3425975504504,122.80223551649692
622,335502.97505403653,4263048.692,1004.5844258654654,122.82827309797739
623,335502.9900379995,4263048.656,1006.8262541804804,122.88215456298622
624,335502.9815840492,4263048.62,1009.0680824954954,122.91261010814469
625,335502.929005796,4263048.583000001,1011.3099108105105,122.89862127817747
626,335502.89626245893,4263048.547,1013.5517391255255,122.90477499039261
627,335502.6842419035,4263048.510515362,1015.7935674405405,122.73138422224021
628,335501.92820623034,4263048.473999999,1018.0353957555556,122.0139027723135
629,335500.8023724589,4263048.438,1020.2772240705706,120.92687245888602
630,335500.8649708377,4263048.401931876,1022.5190523855854,121.02860489934599
631,335500.79270192224,4263048.365,1024.7608807006004,120.99474563856994
632,335500.4882079472,4263048.329,1027.0027090156154,120.72927732395371
633,335499.86753880006,4263048.291999999,1029.2445373306305,120.14747355735112
634,335498.73261938454,4263048.24356167,1031.4863656456455,119.02951938457478
635,335497.5296576312,4263048.187,1033.7281939606605,117.83095763119739
636,335496.41780111496,4263048.13,1035.9700222756755,116.72350111499286
637,335495.48900927824,4263048.073,1038.2118505906906,115.79910927825132
638,335494.76373372367,4263048.017,1040.4536789057056,115.07773372369677
639,335494.3400242629,4263047.96,1042.6955072207206,114.65842426289699
640,335494.07016559027,4263047.903,1044.9373355357357,114.39296559028205
641,335493.84752898867,4263047.846599033,1047.1791638507507,114.17438937527213
642,335493.6564436846,4263047.789443737,1049.4209921657657,113.98754368459596
643,335493.5322342321,4263047.733,1051.6628204807807,113.86763423210657
644,335493.44975140755,4263047.67684821,1053.9046487957958,113.78955140756095
645,335493.398022052,4263047.62,1056.1464771108108,113.7417220520166
646,335493.362570046,4263047.563,1058.3883054258258,113.71067004601343
647,335493.2888443432,4263047.506,1060.6301337408408,113.64134434320272
648,335493.18771126325,4263047.449580371,1062.8719620558556,113.54461126324804
649,335492.9891419803,4263047.392903749,1065.1137903708707,113.34994198033756
650,335492.7250937749,4263047.336138466,1067.3556186858857,113.09029377487715
651,335492.4162393859,4263047.279831606,1069.5974470009007,112.78583938584872
652,335492.0814944865,4263047.222925239,1071.8392753159158,112.45549448648502
653,335491.7208320733,4263047.166193947,1074.0811036309308,112.09873207333058
654,335491.28109819844,4263047.109008012,1076.3229319459458,111.66339819845948
655,335490.754696538,4263047.052592458,1078.5647602609608,111.14139653792743
656,335490.1420583192,4263046.99645836,1080.8065885759759,110.53292913918537
657,335489.5175823642,4263046.939077318,1083.048416890991,109.91258236419725
658,335489.04362747585,4263046.882886337,1085.290245206006,109.44302747586983
659,335488.59328190633,4263046.825867116,1087.532073521021,108.9970819063292
660,335488.39293969277,4263046.769106288,1089.773901836036,108.80063969272362
661,335488.2523688302,4263046.712124392,1092.015730151051,108.66446883022482
662,335488.163026776,4263046.656,1094.257558466066,108.57952677597022
663,335488.12614363764,4263046.599475202,1096.499386781081,108.5470436376692
664,335488.11945027113,4263046.542023318,1098.741215096096,108.54425027113169
665,335488.11017463374,4263046.4859340945,1100.983043411111,108.53937463376234
666,335488.09589398623,4263046.429,1103.224871726126,108.52949398624322
667,335488.0476608139,4263046.372004412,1105.466700041141,108.48566081394908
668,335487.92189016944,4263046.315221391,1107.708528356156,108.3637901694396
669,335487.780307266,4263046.259,1109.950356671171,108.22660726601188
670,335487.61135852104,4263046.202497414,1112.192184986186,108.06205852100648
